Critical;name;Windows NID 5 (MS/BMP/German (Germany));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/German (Germany));Version NID 5 (MS/BMP/German (Germany)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 2 (Mac/Roman/Italian);Necessary name table entry according Monotype: 'Macintosh NID 2, Subfamily Name' (Mac/Roman/Italian);Subfamily Name NID 2 (Mac/Roman/Italian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Roman/French);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Roman/French);Family Name NID 1 (Mac/Roman/French) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 2 (MS/BMP/Norwegian);Necessary name table entry according Monotype: 'Windows NID 2, Subfamily Name' (MS/BMP/Norwegian);Subfamily Name NID 2 (MS/BMP/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 5 (Mac/Russian/Russian);Necessary name table entry according Monotype: 'Macintosh NID 5, Version' (Mac/Russian/Russian);Version NID 5 (Mac/Russian/Russian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 4 (MS/BMP/Hungarian);Necessary name table entry according Monotype: 'Windows NID 4, Full Font Name' (MS/BMP/Hungarian);Full Font Name NID 4 (MS/BMP/Hungarian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 4 (MS/BMP/German (Germany));Necessary name table entry according Monotype: 'Windows NID 4, Full Font Name' (MS/BMP/German (Germany));Full Font Name NID 4 (MS/BMP/German (Germany)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 4 (MS/BMP/French (France));Necessary name table entry according Monotype: 'Windows NID 4, Full Font Name' (MS/BMP/French (France));Full Font Name NID 4 (MS/BMP/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/Russian);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Russian);PostScript Name NID 6 (MS/BMP/Russian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/French (France));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/French (France));PostScript Name NID 6 (MS/BMP/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/BMP/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/Italian (Italy));Family Name NID 1 (MS/BMP/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 4 (Mac/Roman/Italian);Necessary name table entry according Monotype: 'Macintosh NID 4, Full Font Name' (Mac/Roman/Italian);Full Font Name NID 4 (Mac/Roman/Italian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 2 (MS/BMP/Russian);Necessary name table entry according Monotype: 'Windows NID 2, Subfamily Name' (MS/BMP/Russian);Subfamily Name NID 2 (MS/BMP/Russian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Italian (Italy));PostScript Name NID 6 (MS/BMP/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Roman/German);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Roman/German);Family Name NID 1 (Mac/Roman/German) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 2 (MS/BMP/French (France));Necessary name table entry according Monotype: 'Windows NID 2, Subfamily Name' (MS/BMP/French (France));Subfamily Name NID 2 (MS/BMP/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Roman/Italian);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Roman/Italian);Family Name NID 1 (Mac/Roman/Italian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 5 (Mac/Roman/German);Necessary name table entry according Monotype: 'Macintosh NID 5, Version' (Mac/Roman/German);Version NID 5 (Mac/Roman/German) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 2 (Mac/Roman/Swedish);Necessary name table entry according Monotype: 'Macintosh NID 2, Subfamily Name' (Mac/Roman/Swedish);Subfamily Name NID 2 (Mac/Roman/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Russian/Russian);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Russian/Russian);Family Name NID 1 (Mac/Russian/Russian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/BMP/French (France));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/French (France));Version NID 5 (MS/BMP/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 6 (Mac/Roman/French);Necessary name table entry according Monotype: 'Macintosh NID 6, PostScript Name' (Mac/Roman/French);PostScript Name NID 6 (Mac/Roman/French) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 4 (Mac/Russian/Russian);Necessary name table entry according Monotype: 'Macintosh NID 4, Full Font Name' (Mac/Russian/Russian);Full Font Name NID 4 (Mac/Russian/Russian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/BMP/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Italian (Italy));Version NID 5 (MS/BMP/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/BMP/Swedish);Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Swedish);Version NID 5 (MS/BMP/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 4 (MS/BMP/Norwegian);Necessary name table entry according Monotype: 'Windows NID 4, Full Font Name' (MS/BMP/Norwegian);Full Font Name NID 4 (MS/BMP/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/German (Germany));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/German (Germany));PostScript Name NID 6 (MS/BMP/German (Germany)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/BMP/Dutch (Netherlands));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Dutch (Netherlands));Version NID 5 (MS/BMP/Dutch (Netherlands)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 2 (Mac/Roman/German);Necessary name table entry according Monotype: 'Macintosh NID 2, Subfamily Name' (Mac/Roman/German);Subfamily Name NID 2 (Mac/Roman/German) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 4 (Mac/Roman/French);Necessary name table entry according Monotype: 'Macintosh NID 4, Full Font Name' (Mac/Roman/French);Full Font Name NID 4 (Mac/Roman/French) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/Swedish);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Swedish);PostScript Name NID 6 (MS/BMP/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Roman/Swedish);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Roman/Swedish);Family Name NID 1 (Mac/Roman/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
