Modified;File Name;File Format;Vendor ID;Family Name (NID16);Subfamily Name (NID17);Version;Copyright;Trademark;Manufacturer;URL Vendor;License Description;URL License;Religious Symbols;WOFF metadata;Critical Errors;Uncritical Errors
;ubuntucondensed/UbuntuCondensed-Regular.ttf;ttf;DAMA;Ubuntu Condensed;Regular;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;136
;ubuntu/Ubuntu-Italic.ttf;ttf;DAMA;None;None;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;835
;ubuntu/Ubuntu-LightItalic.ttf;ttf;DAMA;Ubuntu;Light Italic;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;755
;ubuntu/Ubuntu-MediumItalic.ttf;ttf;DAMA;Ubuntu;Medium Italic;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;1399
;ubuntu/Ubuntu-BoldItalic.ttf;ttf;DAMA;None;None;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;7452
;ubuntu/Ubuntu-Bold.ttf;ttf;DAMA;None;None;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;6525
;ubuntu/Ubuntu-Regular.ttf;ttf;DAMA;None;None;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;5624
;ubuntu/Ubuntu-Light.ttf;ttf;DAMA;Ubuntu;Light;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;6942
;ubuntu/Ubuntu-Medium.ttf;ttf;DAMA;Ubuntu;Medium;0.83;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;765
;ubuntumono/UbuntuMono-Italic.ttf;ttf;DAMA;Ubuntu Mono;Italic;Version 0.80;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;7429
;ubuntumono/UbuntuMono-Bold.ttf;ttf;DAMA;Ubuntu Mono;Bold;Version 0.80;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;222
;ubuntumono/UbuntuMono-BoldItalic.ttf;ttf;DAMA;Ubuntu Mono;Bold Italic;Version 0.80;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;68
;ubuntumono/UbuntuMono-Regular.ttf;ttf;DAMA;Ubuntu Mono;Regular;Version 0.80;Copyright 2011 Canonical Ltd.  Licensed under the Ubuntu Font Licence 1.0;Ubuntu and Canonical are registered trademarks of Canonical Ltd.;Dalton Maag Ltd;http://www.daltonmaag.com/;None;None;None;None;None;114
